charity_id,accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,organization_type,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions
34,100,102716,DuPage PADS,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12278,Wheaton,nan,131808,3.51,Executive Director,390812,82.83,558415,2600177,Human Services : Homeless Services ,-57347,87.85,0,3085564,IL,4045611
35,78,267388,DuPage Children's Museum,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14735,Naperville,nan,120672,2.97,"President, CEO",353973,81.13,330570,3602916,"Arts, Culture, Humanities : Museums ",1325508,79.5,0,3463609,IL,1303678
36,96,6146668,Ducks Unlimited,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3631,Memphis,nan,511842,0.25,Chief Executive Officer,28422623,84.07,37813823,195923938,"Animals : Wildlife Conservation ,This rating represents consolidated financial data for these organizations:",24159550,88.38,0,159565880,TN,207789444
37,89,488815,Dubuque County Historical Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12812,Dubuque,nan,110200,1.57,President/CEO,-2299475,93.25,228191,41573178,"Arts, Culture, Humanities : Museums ",760401,90.87,0,6284975,IA,1447829
38,100,274079,4 Paws for Ability ,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13055,Xenia,nan,103803,3.4,Executive Director,621712,92.5,163774,3500111,Human Services : Social Services ,215424,94.69,0,2610426,OH,976681
39,82,112524,Dubuque Regional Humane Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14181,Dubuque,nan,80000,7.33,"President, CEO",-432203,93.05,102647,5497007,"Animals : Animal Rights, Welfare, and Services ",129752,86.35,0,875329,IA,200955
40,96,177504,Drugs for Neglected Diseases Initiative North America,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16059,New York,nan,154141,5.16,Executive Director,232256,79.98,394582,566614,Health : Medical Research ,241,85.56,0,2414640,NY,3218741
41,82,740208,Drisha Institute for Jewish Education,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9364,New York,nan,150759,7.46,Dean,-835454,69.28,55864,7018400,Religion : Religious Activities ,388176,74.82,0,1223452,NY,700617
42,96,355811,Dress for Success Worldwide,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7942,New York,nan,,,Chief Executive Officer,332576,90,962492,5107651,Human Services : Social Services ,2940350,92.38,2254689,21828611,NY,20539140
43,93,167750,Dreams Come True,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9624,Jacksonville,nan,108720,4.77,Executive Director,108718,99.85,136823,4620438,Health : Patient and Family Support ,559187,95.04,0,1971526,FL,1825630
44,89,60495,Dream Factory,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9630,Louisville,nan,,,Chief Executive Officer,33649,96.22,29852,3505329,Health : Patient and Family Support ,-5029,91.77,159325,2181218,KY,2310243
45,85,476124,The Drawing Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6729,New York,nan,175000,7.88,Executive Director,-281839,83.31,333896,8918807,"Arts, Culture, Humanities : Museums ",15173,84.13,0,1409669,NY,1870018
46,89,100694,The Drake House,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13324,Roswell,nan,78750,8.98,Executive Director,214028,95.35,70581,2517282,"Human Services : Youth Development, Shelter, and Crisis Services ",149850,91.55,0,704707,GA,928160
47,100,88841,Downtown Rescue Mission,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9643,Huntsville,nan,101450,1.11,"President, CEO",1785719,85,1002981,7351178,Human Services : Homeless Services ,0,89.39,0,8005282,AL,10866393
48,93,368708,Dream Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9892,Santa Barbara,nan,162176,3.61,Executive Director,-653513,97.07,379683,4205692,Health : Patient and Family Support ,-129438,94.63,0,3737808,CA,3962124
49,96,786239,Downtown Women's Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9461,Los Angeles,nan,146314,1.98,Chief Executive Officer,63453,87.26,679258,17685957,Human Services : Homeless Services ,225037,90.55,0,5906129,CA,6653125
50,96,168761,Dress for Success Houston,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9703,Houston,nan,149520,7.38,President,328637,90.6,235553,13297040,Human Services : Social Services ,203944,92.77,0,1621606,TX,2150613
51,89,417058,DreamYard Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12702,Bronx,nan,112300,2.64,Co-Director,348133,91.11,290265,1270018,Education : Youth Education Programs and Services ,5,89.99,0,3540950,NY,3544959
52,77,426800,Downtown Cleveland Alliance,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9155,Cleveland,nan,248020,3.88,"President, CEO",640459,88.93,292911,2673256,Community Development : Housing and Neighborhood Development ,57070,81.95,0,5668986,OH,6395443
53,89,323355,Downtown Community Television Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9361,New York,nan,86430,2.2,"Co-Executive Director, President",57141,97.47,162127,3557955,"Arts, Culture, Humanities : Performing Arts ",8875,92.01,0,3427753,NY,931376
54,96,1139640,DoveLewis Emergency Animal Hospital,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12512,Portland,nan,246301,2.14,Chief Executive Officer,634721,85,416782,7032558,"Animals : Animal Rights, Welfare, and Services ",62906,89.02,0,9935409,OR,1763793
55,82,363126,Downline Ministries,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14124,Memphis,nan,25749,1.37,Executive Director,-227165,84.35,90845,1098466,Religion : Religious Activities ,99727,83.13,0,1417719,TN,1251931
56,93,221067,The Dougy Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13186,Portland,nan,78395,4.5,Executive Director,-255466,77.32,314057,5304123,Human Services : Children's and Family Services ,497719,83.21,0,1204358,OR,923189
57,100,393930,Double H Ranch,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10568,Lake Luzerne,nan,201030,4.95,"CEO, Executive Director",2797545,81.29,733908,17319878,Health : Patient and Family Support ,474123,86.77,0,2926279,NY,6377539
58,96,217621,Dr. Susan Love Research Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=11077,Encino,nan,210000,7.59,President,86969,89.4,273590,2963707,Health : Medical Research ,-168319,91.98,0,2272183,CA,2967182
59,100,133693,Doug Flutie Jr. Foundation For Autism,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8742,Framingham,nan,60000,5.64,Executive Director,656743,80.34,119799,2649691,"Health : Diseases, Disorders, and Disciplines , ",91146,86.09,0,808816,MA,1624689
60,75,17011,Dreamchaser PMU Rescue & Rehabilitation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16105,Falcon,nan,,,CEO,73172,74.5,288013,275659,"Animals : Animal Rights, Welfare, and Services ",33691,74.74,0,1293096,MO,1637601
61,100,211917,Doorways for Women and Families,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8581,Arlington,nan,126273,3.16,Executive Director,1524752,87.72,679666,6296186,Human Services : Social Services ,12960,91.31,0,3099925,VA,5503300
62,97,601005,DOROT,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=8104,New York,nan,266663,3.76,Executive Director,-767964,94.85,642278,24627928,Human Services : Social Services ,347371,95.78,0,5840860,NY,5968808
63,97,2197589,Drug Policy Alliance,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6230,New York,nan,294181,2.15,Executive Director,-3250274,74.88,1461581,2609490,Research and Public Policy : Social and Public Policy Research ,46428,82.11,0,10021348,NY,9796994
64,89,517141,The Doseum,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13320,San Antonio,nan,135000,2.51,Executive Director,1901523,99.03,388725,51239590,"Arts, Culture, Humanities : Museums ",380514,92.19,0,4466430,TX,4306225
65,96,865054,DonorsChoose.org,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9284,New York,nan,323551,0.32,Chief Executive Officer,6996938,97.5,4200623,41187281,Education : Youth Education Programs and Services ,116461,96.66,0,95527760,NY,107473914
66,96,186936,The Doorways,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10285,Richmond ,nan,160419,6.53,"President, CEO",425866,97.5,101670,11806753,Health : Patient and Family Support ,956728,96.66,0,2165998,VA,1923742
67,81,245384,Donald W. Reynolds Boys & Girls Club,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9653,Fayetteville,nan,,,nan,2133826,92.12,92857,13579831,"Human Services : Youth Development, Shelter, and Crisis Services ",95733,85.45,0,1823756,AR,3249573
68,82,146547,Domestic Violence Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15259,Canton,nan,59152,3.15,"Executive Director, CEO",-231661,97.5,92069,2069986,Human Services : Social Services ,42463,87.14,0,1635867,OH,1267216
69,92,630488,"Domestic Violence Intervention Services, Inc. (DVIS)",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13958,Tulsa,nan,115781,2.05,Executive Director,-684798,95.72,362732,18869218,Human Services : Social Services ,340245,93.58,0,4631486,OK,4358746
70,100,213616,Domestic Violence Solutions for Santa Barbara County,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6561,Santa Barbara,nan,125781,6.9,Executive Director,-343184,79.61,174049,3274897,Human Services : Social Services ,12585,85.58,0,1432659,CA,1393851
71,86,206192,Domestic Violence Center of Chester County,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13827,West Chester,nan,110000,6.58,CEO,37029,91.87,132052,2865283,Human Services : Social Services ,18595,88.55,0,1333107,PA,1668817
72,92,193701,"Domestic Abuse Project of Delaware County, Inc.",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16392,Media,nan,,,Executive Director,123590,87.56,66172,1079155,Human Services : Social Services ,123072,89.54,0,1369670,PA,1630061
73,93,281430,Domestic Abuse Intervention Services,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14291,Madison,nan,87248,2.74,Executive Director,-903904,90.87,330147,6585456,Human Services : Social Services ,-4075,91.86,0,2564664,WI,2276412
74,78,360621,Dollywood Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13711,Pigeon Force,nan,249962,9.04,President,8131517,96.67,113848,16323229,Education : Youth Education Programs and Services ,548864,84.26,0,2289217,TN,10346339
75,89,234021,Domestic Abuse Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15314,Minneapolis,nan,92579,5.81,Executive Director,301797,79.6,146571,717082,Human Services : Social Services ,-18893,83.61,0,1210182,MN,1842076
76,100,246172,Dogs for Better Lives,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5781,Central Point,nan,123871,4.22,President/CEO,-1597228,91.21,273098,17135675,"Animals : Animal Rights, Welfare, and Services ",-417195,93.78,0,2410682,OR,1747792
77,100,882257,Dollar Energy Fund,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7957,Pittsburgh,nan,196866,1.11,Chief Executive Officer,-1235391,89.67,388262,11389269,Human Services : Social Services ,38461,92.69,0,16322374,PA,6288924
78,77,1550307,Doernbecher Children's Hospital Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6416,Portland,nan,,,nan,4745056,83.2,1750072,62800576,"Health : Treatment and Prevention Services , ",1285208,79.85,0,9985811,OR,16394767
79,96,7881815,Doheny Eye Institute,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5851,Los Angeles,nan,508387,2.3,Executive Director,135160,75.35,1156043,73488393,Health : Medical Research ,4876609,82.34,0,12990486,CA,5004366
80,97,5558418,"Doctors Without Borders, USA",https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3628,New York,nan,200805,0.05,Executive Director,10898493,97.5,32351142,287228413,"International : Development and Relief Services , ",2582377,97.23,0,325591291,NY,357438744
81,92,127963,Doctors Care,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13211,Littleton,nan,121039,5.68,Executive Director,435057,99.57,73496,5146089,Health : Treatment and Prevention Services ,59121,94.33,0,1928532,CO,1410357
82,96,901523,Do Something,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9374,New York,nan,197812,1.98,Chief Executive Officer,-1094986,97.5,321439,12137900,"Human Services : Youth Development, Shelter, and Crisis Services ",13034,96.66,0,8732903,NY,6696349
83,85,2790569,DKT International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3627,Washington,nan,374511,0.22,President & CEO,64799405,97.5,458429,216603841,International : Development and Relief Services ,13814501,89.24,0,164015177,DC,97787203
84,78,603059,The Dixon Gallery and Gardens,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9632,Memphis,nan,219525,4.76,Executive Director,-295691,91.91,103496,5005754,"Arts, Culture, Humanities : Museums ",181398,83.42,0,3900838,TN,4015692
85,85,863795,District of Columbia College Access Program,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5467,Washington,nan,342868,4.54,"President, CEO",651156,88.77,582034,73740982,Education : Scholarship and Financial Support ,6181358,86.75,0,6105784,DC,2021411
86,93,713449,Discovery World,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15768,Milwaukee,nan,182065,1.77,CEO and President,-2667095,85.79,304184,37073513,"Arts, Culture, Humanities : Museums ",295158,88.79,0,9229297,WI,4120552
87,67,171527,Diskin Orphan Fund of Israel,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10348,Brooklyn,nan,60000,3.58,Executive Secretary,964783,89.95,165994,1528312,"Human Services : Youth Development, Shelter, and Crisis Services , ",0,75.6,0,1338356,NY,2640660
88,92,1885310,Discovery Place,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5500,Charlotte,nan,234266,1.5,President & CEO,-3996610,97.5,340744,106050901,"Arts, Culture, Humanities : Museums ",1248581,94.07,0,13388504,NC,2329222
89,77,102567,Discovery Institute,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9757,Seattle,nan,144200,3.4,President,1693215,92.71,340504,4940044,Research and Public Policy : Social and Public Policy Research ,61097,82.93,0,3792540,WA,5773002
90,89,484442,Discovery Green Conservancy,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14701,Houston,nan,204685,3.31,President,-782355,96,405506,39853956,"Environment : Botanical Gardens, Parks, and Nature Centers ",-32372,91.72,0,5293664,TX,3173699
91,96,135469,The Discovery Museums,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=17310,Acton,nan,166193,9.99,Chief Executive Officer,1351434,88.57,219414,7857273,"Arts, Culture, Humanities : Museums ",125786,91.43,0,1307953,MA,1919521
92,66,323958,Discovery Eye Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6476,Los Angeles,nan,,,"President, Medical Director",-464025,73.75,56556,744604,Health : Medical Research ,75133,69.62,0,517024,CA,358380
93,96,1617200,DISCOVERY Children's Museum,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12244,Las Vegas,nan,159689,2.69,Trustee,-1804631,86.26,204866,47244316,"Arts, Culture, Humanities : Museums ",436819,89.88,0,4100910,NV,1798271
94,89,126259,Discovery Center of Springfield,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12042,Spring,nan,77500,6.09,Executive Director,-288198,82.5,88066,4144829,"Arts, Culture, Humanities : Museums ",58397,85.38,0,1056727,MO,469066
95,100,355180,DiscipleMakers,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6879,State College,nan,54000,1.37,President,144888,89.28,327414,1469574,Religion : Religious Activities ,2011,92.41,0,3233039,PA,3913760
96,66,42704,Disabled Police and Sheriff's Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12035,Ste. Genevieve,nan,,,nan,11536,0,1401140,4472,Human Services : Multipurpose Human Service Organizations ,10,25.31,0,85839,MO,1541209
97,96,2000823,Disabled Veterans National Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13131,Lanham,nan,144616,0.49,Chief Executive Officer,-1560501,0,19776427,-3967104,Human Services : Social Services ,275135,29.23,0,7523867,MD,27465481
98,93,251918,DIFFA,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7766,New York,nan,139098,5.51,Executive Director,62949,68.82,780133,904941,"Health : Diseases, Disorders, and Disciplines ",-226019,77.4,0,1488252,NY,2764090
99,89,140337,The Dictionary Project,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=12371,Charleston,nan,64395,1.36,Executive Director,59470,78.24,41440,619363,Education : Youth Education Programs and Services ,3495,82.75,0,4541999,SC,4779751
100,100,99755,Diabetes Youth Families,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10892,Concord,nan,124604,5.18,Executive Director,-113202,85.04,340014,4903689,Health : Patient and Family Support ,271556,89.42,0,1963217,CA,1493372
101,100,233883,Dining for Women,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=16725,Greenville,nan,100400,7.05,President,125826,80.55,95008,366765,"International : Development and Relief Services , ",0,86.24,0,1094824,SC,1537144
102,100,895599,Diabetes Research Institute Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3624,Hollywood,nan,343279,3.14,"President, CEO",12780,81.02,1725721,27479357,"Health : Medical Research , ",1923544,86.57,0,8293772,FL,9004328
103,78,120561,Diabetes Research and Wellness Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=5460,Washington,nan,97145,0.82,Executive Director,-379380,70.49,1075573,323742,International : Development and Relief Services ,30487,73.97,0,10527165,DC,8142355
104,100,47235,Diabetes Action Research and Education Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10294,Bethesda,nan,87879,3.84,President,88101,84.99,11498,262443,"Health : Medical Research , ",14,89.38,0,2226631,MD,2373451
105,100,2447466,Direct Relief,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3626,Santa Barbara,nan,384276,0.04,"President, CEO",-119126915,100,1563823,161444779,International : Humanitarian Relief Supplies ,-3046,100,0,887377810,CA,772063768
106,93,159224,Developments in Literacy,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9923,Irvine,nan,,,"Founder, CEO",-257407,97.5,102961,1534401,"Education : Youth Education Programs and Services , ",9787,94.74,0,2498244,CA,2493235
107,100,5950762,Detroit Zoological Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=3621,Royal Oak,nan,415379,0.85,"Executive Director, CEO",-1612079,90,1309437,26771742,Animals : Zoos and Aquariums ,1444479,92.92,0,41092610,MI,23780290
108,100,385711,Development Associates International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6835,Colorado Springs,nan,110847,1.85,"President, CEO",-750760,88.56,320631,1247559,"Religion : Religious Activities , ",16520,91.91,0,5283160,CO,5220540
